diff --dolt a/writings b/writings
--- a/writings
+++ b/writings
+---+-----------------+--------------------------------------+
|   | phelps          | version                              |
| > | BB00560         | 4dd20eff-13dc-4010-b96e-6b79371e2d6a |
| < | NULL            | 4dea9300-725d-4ed0-8b29-db0b6fd5c1a7 |
| > | AB02866         | 4dea9300-725d-4ed0-8b29-db0b6fd5c1a7 |
| < | NULL            | 4e15429d-10da-479e-8d69-6ac89d89fe4f |
| > | TMP00056        | 4e15429d-10da-479e-8d69-6ac89d89fe4f |
| < | NULL            | 4fd46e69-c8d4-4c9f-92f1-31b1e2624659 |
| > | BB00617         | 4fd46e69-c8d4-4c9f-92f1-31b1e2624659 |
| < | NULL            | 4fd6a532-19dd-43e9-a596-145d810a1efb |
| > | BH00009SER      | 4fd6a532-19dd-43e9-a596-145d810a1efb |
| < | AB00001FIR      | 5062d66b-6f26-4e42-ba4c-96a2086776af |
| > |                 | 5062d66b-6f26-4e42-ba4c-96a2086776af |
| < | ABU0095KIN      | 50c192d6-52d5-4857-a6e1-cc4d5d29957d |
| > |                 | 50c192d6-52d5-4857-a6e1-cc4d5d29957d |
| < | NULL            | 50dfc10e-5bea-4907-bb2f-63eb7a7b897c |
| > | BH10578         | 50dfc10e-5bea-4907-bb2f-63eb7a7b897c |
| < | NULL            | 51fa1027-d6b6-4fc1-9b76-f19806660f8a |
| > | TMP00082        | 51fa1027-d6b6-4fc1-9b76-f19806660f8a |
| < | NULL            | 522614d5-475a-4e47-b129-55da5f375014 |
| > | BH06296         | 522614d5-475a-4e47-b129-55da5f375014 |
| < | NULL            | 5417cd08-0196-47d7-90d6-d278f12d4353 |
| > | BH00554         | 5417cd08-0196-47d7-90d6-d278f12d4353 |
| < | NULL            | 542d2009-ed0a-432c-84f4-62a40b190796 |
| > | AB07304         | 542d2009-ed0a-432c-84f4-62a40b190796 |
| < | NULL            | 549844a6-d031-46d8-9524-50c879af012f |
| > | BH09508         | 549844a6-d031-46d8-9524-50c879af012f |
| < | BH01313NAM      | 549e6a8e-3b85-4e3e-b071-3842a9586539 |
| > |                 | 549e6a8e-3b85-4e3e-b071-3842a9586539 |
| < | NULL            | 54a1e021-66e2-461d-8cd9-ff7b78b7c8bf |
| > | BH10505         | 54a1e021-66e2-461d-8cd9-ff7b78b7c8bf |
| < | NULL            | 54dc2fb6-684f-4e68-92d1-1d5200bd7286 |
| > | BH02524         | 54dc2fb6-684f-4e68-92d1-1d5200bd7286 |
| < | NULL            | 54fb0a0f-1f3c-4db5-bb36-5bfed711ebf2 |
| > | AB00001SHI      | 54fb0a0f-1f3c-4db5-bb36-5bfed711ebf2 |
| < | NULL            | 56979dda-16b2-483a-880d-ce384e8bd1f2 |
| > | BB00522         | 56979dda-16b2-483a-880d-ce384e8bd1f2 |
| < | AB09794CHI      | 56d13f60-640f-4cc7-a466-4e8c0ffa9776 |
| > |                 | 56d13f60-640f-4cc7-a466-4e8c0ffa9776 |
| < | NULL            | 571bed4f-b746-4546-96cc-3fa992ac1289 |
| > | BH10581         | 571bed4f-b746-4546-96cc-3fa992ac1289 |
| < | NULL            | 5777de96-9fd6-41bf-94f6-975569f4ba7a |
| > | AB01023SAE      | 5777de96-9fd6-41bf-94f6-975569f4ba7a |
| < | NULL            | 57db972c-42a4-403a-8ef0-6310321ab22d |
| > | AB03082         | 57db972c-42a4-403a-8ef0-6310321ab22d |
| < | AB03461MAR      | 58372d54-0512-411d-8640-61711f071d8a |
| > |                 | 58372d54-0512-411d-8640-61711f071d8a |
| < | NULL            | 58f0fe5a-f902-43d7-adb0-002130a64d63 |
| > | AB00787SPL      | 58f0fe5a-f902-43d7-adb0-002130a64d63 |
| < | BH01026         | 59da975e-33a3-4d8b-ba57-8a5ddbcf5167 |
| > |                 | 59da975e-33a3-4d8b-ba57-8a5ddbcf5167 |
| < | NULL            | 5b1b67d4-bf6d-42c9-8325-2a1d8e444a31 |
| > | BH07180         | 5b1b67d4-bf6d-42c9-8325-2a1d8e444a31 |
| < | NULL            | 5b87f09f-27c5-429e-b329-51a2deeed750 |
| > | BH04569         | 5b87f09f-27c5-429e-b329-51a2deeed750 |
| < | BBU0015         | 5b8a07ca-56b4-41f7-aa49-e47da2b49369 |
| > |                 | 5b8a07ca-56b4-41f7-aa49-e47da2b49369 |
| < | NULL            | 5bf0117a-7180-419c-8541-091e156d49ac |
| > | AB0210BIR       | 5bf0117a-7180-419c-8541-091e156d49ac |
| < | NULL            | 5c40724d-9381-492d-a888-6062130c1fe9 |
| > | AB00001SHI      | 5c40724d-9381-492d-a888-6062130c1fe9 |
| < | NULL            | 5c85ca0c-94c3-4474-8ee9-7c8ec025a6d1 |
| > | AB03017CAL      | 5c85ca0c-94c3-4474-8ee9-7c8ec025a6d1 |
| < | NULL            | 5cb65670-be10-47ed-bc4e-7dbdde1ac971 |
| > | BH00009HOW      | 5cb65670-be10-47ed-bc4e-7dbdde1ac971 |
| < | NULL            | 5cda359c-78a5-4df8-9a79-ee759bf8c46a |
| > | BH00868WIT      | 5cda359c-78a5-4df8-9a79-ee759bf8c46a |
| < | NULL            | 5d265993-a2e1-425e-9d63-979ae0528c61 |
| > | AB06528MID      | 5d265993-a2e1-425e-9d63-979ae0528c61 |
| < | NULL            | 5d2ac376-db73-41ac-804e-e0505332f9e4 |
| > | BH00438         | 5d2ac376-db73-41ac-804e-e0505332f9e4 |
| < | NULL            | 5d9bbf43-08e8-4cc3-b610-6ea5afd56add |
| > | BH00009SHE      | 5d9bbf43-08e8-4cc3-b610-6ea5afd56add |
| < | NULL            | 5d9d6270-b0f4-4bf9-8735-3bc9e96ebdc9 |
| > |                 | 5d9d6270-b0f4-4bf9-8735-3bc9e96ebdc9 |
| < | NULL            | 5e03dc9a-7f7c-4f47-a9a3-da47c29e38f6 |
| > | BH04990         | 5e03dc9a-7f7c-4f47-a9a3-da47c29e38f6 |
| < | NULL            | 5f03b200-2b31-4321-bd34-0b16fcc8fabb |
| > | TMP00003        | 5f03b200-2b31-4321-bd34-0b16fcc8fabb |
| < | NULL            | 5f5aa3dd-7efb-4b87-ae68-fd22e4b4efde |
| > | AB09139         | 5f5aa3dd-7efb-4b87-ae68-fd22e4b4efde |
| < | NULL            | 5f6e302f-656f-470c-a0f6-20d52e402408 |
| > | BH08433         | 5f6e302f-656f-470c-a0f6-20d52e402408 |
| < | NULL            | 5fd304a6-cd6f-44eb-9f84-479fa5bcaeab |
| > | SKIP            | 5fd304a6-cd6f-44eb-9f84-479fa5bcaeab |
| < | NULL            | 5fd65831-5f6a-4d03-be00-3e01c8487f1b |
| > | AB00001FIR      | 5fd65831-5f6a-4d03-be00-3e01c8487f1b |
| < | NULL            | 5fefa4e4-84af-4bd8-8323-7052f6c1819f |
| > | BH06026         | 5fefa4e4-84af-4bd8-8323-7052f6c1819f |
| < | NULL            | 5ff630c3-d1b3-4f38-91b4-f218eea42dd0 |
| > | BH00009AWA      | 5ff630c3-d1b3-4f38-91b4-f218eea42dd0 |
| < | NULL            | 610d4b27-17df-4443-9148-40ab28f7fd16 |
| > | AB04980HOP      | 610d4b27-17df-4443-9148-40ab28f7fd16 |
| < | BH03470         | 6129de72-50e9-482b-aab2-20b59c090c32 |
| > |                 | 6129de72-50e9-482b-aab2-20b59c090c32 |
| < | NULL            | 6147e9dc-6be3-4ba1-9750-54eb12195951 |
| > | BH08013         | 6147e9dc-6be3-4ba1-9750-54eb12195951 |
| < | NULL            | 6177af2e-ed1e-42e5-8ab8-ca645650618d |
| > | AB00094WEA      | 6177af2e-ed1e-42e5-8ab8-ca645650618d |
| < | AB00388COM      | 62447ccd-d70e-4fc0-8401-d1ab85e1856e |
| > |                 | 62447ccd-d70e-4fc0-8401-d1ab85e1856e |
| < | NULL            | 6306264a-0fd0-406c-86e5-67ef3d265095 |
| > |                 | 6306264a-0fd0-406c-86e5-67ef3d265095 |
| < | BH00074BLE      | 63824538-cac4-45f0-8895-2e18092fbb7b |
| > |                 | 63824538-cac4-45f0-8895-2e18092fbb7b |
| < | NULL            | 64927942-fc6f-458d-b511-a0092e88cded |
| > | AB07155WOM      | 64927942-fc6f-458d-b511-a0092e88cded |
| < | NULL            | 65003b33-19cd-4bb4-8dab-80b9e337114a |
| > | BH09874         | 65003b33-19cd-4bb4-8dab-80b9e337114a |
| < | NULL            | 654059a1-871c-4599-baf4-291f7988b85b |
| > | AB07155WOM      | 654059a1-871c-4599-baf4-291f7988b85b |
| < | AB09794CHI      | 65900db3-28ea-4b45-8ec3-c7d804c0b606 |
| > |                 | 65900db3-28ea-4b45-8ec3-c7d804c0b606 |
| < | NULL            | 659b54e4-1ab8-4aac-b338-9251d53f239d |
| > | BH08308         | 659b54e4-1ab8-4aac-b338-9251d53f239d |
| < | NULL            | 65a325ef-eb1b-498e-b028-316f5cf0081f |
| > | BH09024         | 65a325ef-eb1b-498e-b028-316f5cf0081f |
| < | NULL            | 65cb4530-b98b-4eac-b108-9faf9a380a9a |
| > | AB09040         | 65cb4530-b98b-4eac-b108-9faf9a380a9a |
| < | NULL            | 65d1d3b4-7796-482d-87d3-edddf51a1425 |
| > | SKIP            | 65d1d3b4-7796-482d-87d3-edddf51a1425 |
| < | NULL            | 65f5b139-e6f3-4e15-9294-e5b8531a3dd3 |
| > | AB03461MAR      | 65f5b139-e6f3-4e15-9294-e5b8531a3dd3 |
| < | BH00009SHE      | 661f7707-5bab-4c7a-86d4-e6214d063445 |
| > |                 | 661f7707-5bab-4c7a-86d4-e6214d063445 |
| < | NULL            | 6772a643-1a9b-417c-8fca-dc1e56222472 |
| > | BH03181         | 6772a643-1a9b-417c-8fca-dc1e56222472 |
| < | NULL            | 6864056d-971b-4a8d-81ed-2c577a6221f0 |
| > | BB00018MAJ      | 6864056d-971b-4a8d-81ed-2c577a6221f0 |
| < | NULL            | 689178de-ce69-4b76-8bdb-a062c917eef9 |
| > | BH08600FAC      | 689178de-ce69-4b76-8bdb-a062c917eef9 |
| < | NULL            | 68b5006a-8636-4eaf-b94f-758565e9e6f1 |
| > | AB04980HOP      | 68b5006a-8636-4eaf-b94f-758565e9e6f1 |
| < | AB00949WIN      | 68e3b853-dc40-4a19-bffd-d217c03ad8fb |
| > |                 | 68e3b853-dc40-4a19-bffd-d217c03ad8fb |
| < | NULL            | 6a0f52b4-babf-4872-ae05-9b2238a1a5c8 |
| > | BH05543         | 6a0f52b4-babf-4872-ae05-9b2238a1a5c8 |
| < | NULL            | 6a747609-8d87-4205-98d6-cd98737aae03 |
| > | BH08244         | 6a747609-8d87-4205-98d6-cd98737aae03 |
| < | BH00053MAG      | 6a78344a-a57e-4311-b34b-22cfb1a69e23 |
| > |                 | 6a78344a-a57e-4311-b34b-22cfb1a69e23 |
| < | NULL            | 6bb2c4c5-27fd-46b3-90be-dee32d4b6b1b |
| > | AB07759         | 6bb2c4c5-27fd-46b3-90be-dee32d4b6b1b |
| < | NULL            | 6c4219b5-7da0-4ab0-abdc-4b892b3ca1a0 |
| > | BH05768         | 6c4219b5-7da0-4ab0-abdc-4b892b3ca1a0 |
| < | NULL            | 6d4e7fe0-c030-4f25-885c-5011ef689a7e |
| > | AB00184KIN      | 6d4e7fe0-c030-4f25-885c-5011ef689a7e |
| < | NULL            | 6d5b2c2a-81ea-4844-bb93-d7fef25cbc16 |
| > | AB02342AWA      | 6d5b2c2a-81ea-4844-bb93-d7fef25cbc16 |
| < | BH09872         | 6d890649-a979-4693-b98e-6f1210b42916 |
| > |                 | 6d890649-a979-4693-b98e-6f1210b42916 |
| < | NULL            | 6deb52bb-0f2e-4af2-bbbd-207b6ff29203 |
| > | TMP00027        | 6deb52bb-0f2e-4af2-bbbd-207b6ff29203 |
| < | NULL            | 6f47ef18-d6c5-4685-ac60-d11ba7762bb1 |
| > | AB00049RAP      | 6f47ef18-d6c5-4685-ac60-d11ba7762bb1 |
| < | AB10703RAD      | 6f90f800-1fc4-4187-bd2a-5392a2a2b33e |
| > |                 | 6f90f800-1fc4-4187-bd2a-5392a2a2b33e |
| < | NULL            | 6fda5fd5-1598-4270-86e3-e65f3e284b95 |
| > | BH00593         | 6fda5fd5-1598-4270-86e3-e65f3e284b95 |
| < | NULL            | 6fe526f4-d3fc-4b2c-bf38-66cebc85cb29 |
| > | BH00778         | 6fe526f4-d3fc-4b2c-bf38-66cebc85cb29 |
| < | NULL            | 70285cf7-1b24-409e-91db-012f5aa9111b |
| > | TMP00096        | 70285cf7-1b24-409e-91db-012f5aa9111b |
| < | NULL            | 703676af-d8d3-4283-a560-867b8f09c517 |
| > | BH04990         | 703676af-d8d3-4283-a560-867b8f09c517 |
| < | NULL            | 70676774-2897-4604-aba3-986ad6defecf |
| > | BH10505         | 70676774-2897-4604-aba3-986ad6defecf |
| < | NULL            | 71b9d9a1-f4f2-4e44-9bdc-1dbc0824367e |
| > | AB10701         | 71b9d9a1-f4f2-4e44-9bdc-1dbc0824367e |
| < | NULL            | 721b2271-8d75-4751-b256-c2c0bd7722f8 |
| > | AB00218SOU      | 721b2271-8d75-4751-b256-c2c0bd7722f8 |
| < | NULL            | 7266cd91-bb92-43ff-a3df-21014a551c7f |
| > | BB00522         | 7266cd91-bb92-43ff-a3df-21014a551c7f |
| < | AB03017CAL      | 727af105-8ffc-4386-aaba-3c99f769dbeb |
| > |                 | 727af105-8ffc-4386-aaba-3c99f769dbeb |
| < | BH08855         | 72af827f-8c35-47c5-be70-8ab95607aabe |
| > |                 | 72af827f-8c35-47c5-be70-8ab95607aabe |
| < | AB00001FIR      | 72b71892-c738-4edc-87ba-77bded2707b6 |
| > |                 | 72b71892-c738-4edc-87ba-77bded2707b6 |
| < | NULL            | 73391c85-a14b-4f3a-9cfc-064bc20ed54e |
| > | AB07155WOM      | 73391c85-a14b-4f3a-9cfc-064bc20ed54e |
| < | NULL            | 73abfc06-2217-43e9-a234-3d1005e27336 |
| > | BH09848         | 73abfc06-2217-43e9-a234-3d1005e27336 |
| < | NULL            | 7433c50c-3623-4a29-8eb6-124b8eaedd54 |
| > | AB00527         | 7433c50c-3623-4a29-8eb6-124b8eaedd54 |
| < | BH08013         | 7526ccbe-d617-4674-99cc-029783920b26 |
| > |                 | 7526ccbe-d617-4674-99cc-029783920b26 |
| < | NULL            | 75fbfd44-47bf-4987-88c2-5e1b4fc9b0fc |
| > | ABU0137ALL      | 75fbfd44-47bf-4987-88c2-5e1b4fc9b0fc |
| < | NULL            | 7632dc96-e935-4e8f-b6c3-69c4cbdcb163 |
| > | BH08308         | 7632dc96-e935-4e8f-b6c3-69c4cbdcb163 |
| < | NULL            | 7633c220-46e6-478c-bd4d-4237f28f2b10 |
| > | TMP00052        | 7633c220-46e6-478c-bd4d-4237f28f2b10 |
| < | NULL            | 768d4bc9-17d7-4b9b-90bb-38d00d39c88b |
| > | BB00617         | 768d4bc9-17d7-4b9b-90bb-38d00d39c88b |
| < | NULL            | 769f4006-3651-4bc2-afba-54f27d5f1ffd |
| > | BH06026         | 769f4006-3651-4bc2-afba-54f27d5f1ffd |
| < | NULL            | 772216a9-006f-47ed-95e1-b78cc879046d |
| > | BH10505         | 772216a9-006f-47ed-95e1-b78cc879046d |
| < | NULL            | 77391c3a-2b35-4f22-802f-85ac237800a1 |
| > | AB04004BAB      | 77391c3a-2b35-4f22-802f-85ac237800a1 |
| < | AB00044PRO      | 777e3587-283a-4a3f-b3c0-094d24acc912 |
| > |                 | 777e3587-283a-4a3f-b3c0-094d24acc912 |
| < | NULL            | 779e1672-21ce-4888-84a8-f82611cb3db3 |
| > | AB00065KIN      | 779e1672-21ce-4888-84a8-f82611cb3db3 |
| < | NULL            | 77e3634b-3a4b-408f-b20e-27e9b4fa0e14 |
| > | AB04620         | 77e3634b-3a4b-408f-b20e-27e9b4fa0e14 |
| < | NULL            | 77e863ee-24a5-4519-bc27-64686645cd47 |
| > | AB00209UND      | 77e863ee-24a5-4519-bc27-64686645cd47 |
| < | NULL            | 7814519b-acc9-4224-bb4c-f426bff8c2a2 |
| > | AB07158         | 7814519b-acc9-4224-bb4c-f426bff8c2a2 |
| < | NULL            | 78397ed9-ed49-42e9-9e1c-939f9912ac71 |
| > | BB00583         | 78397ed9-ed49-42e9-9e1c-939f9912ac71 |
| < | NULL            | 7857d6d9-1e7e-4149-af25-96c62bf3c4fe |
| > | BH07469         | 7857d6d9-1e7e-4149-af25-96c62bf3c4fe |
| < | NULL            | 79a6cb2e-34bb-4ba3-b0b1-4c8b7906b2ed |
| > | AB03461MAR      | 79a6cb2e-34bb-4ba3-b0b1-4c8b7906b2ed |
| < | BH04990         | 7a7729f1-198f-4848-ba13-387e8b06d8ed |
| > |                 | 7a7729f1-198f-4848-ba13-387e8b06d8ed |
| < | NULL            | 7c3783d3-203a-403e-ba62-719e95f662ca |
| > | AB06012         | 7c3783d3-203a-403e-ba62-719e95f662ca |
| < | NULL            | 7c5ee154-43eb-49f6-b17c-93fe3ef03884 |
| > | BH02307         | 7c5ee154-43eb-49f6-b17c-93fe3ef03884 |
| < | NULL            | 7ce39e4b-0937-40f2-9673-5e89e6b5297b |
| > | AB00362LOV      | 7ce39e4b-0937-40f2-9673-5e89e6b5297b |
| < | NULL            | 7d420528-a1fa-46f1-b61d-e1c028b35a73 |
| > | BH10505         | 7d420528-a1fa-46f1-b61d-e1c028b35a73 |
| < | AB07124         | 7de57df2-8534-431a-8382-46df85e86cb2 |
| > |                 | 7de57df2-8534-431a-8382-46df85e86cb2 |
| < | NULL            | 80436591-80dc-4c86-93bd-5baa79df5daf |
| > | BH02524         | 80436591-80dc-4c86-93bd-5baa79df5daf |
| < | NULL            | 810c74c6-6c53-46fd-973a-e844f2257b4e |
| > | AB07759         | 810c74c6-6c53-46fd-973a-e844f2257b4e |
| < | NULL            | 81809672-0f64-4f4c-b1e0-20c053f80097 |
| > | BH09848         | 81809672-0f64-4f4c-b1e0-20c053f80097 |
| < | NULL            | 8323301b-ce8b-4288-a69b-9464423eb980 |
| > | BH04421HEA      | 8323301b-ce8b-4288-a69b-9464423eb980 |
| < | NULL            | 83a8942f-38d9-4c02-a7e2-1b40d628b18f |
| > | ABU0070GAT      | 83a8942f-38d9-4c02-a7e2-1b40d628b18f |
| < | NULL            | 840bf9e2-5e24-4f11-9c1d-38cb2cd6d759 |
| > | BH09864         | 840bf9e2-5e24-4f11-9c1d-38cb2cd6d759 |
| < | NULL            | 8441391f-11c5-4f1a-b67b-dd485038759a |
| > | AB02342AWA      | 8441391f-11c5-4f1a-b67b-dd485038759a |
| < | NULL            | 84e4fcc0-5e6b-4b5d-b525-ea6e6a517ce8 |
| > | BH01026         | 84e4fcc0-5e6b-4b5d-b525-ea6e6a517ce8 |
| < | NULL            | 85cb39ea-433d-438e-b5c3-ce13cfb19cde |
| > | BH09960         | 85cb39ea-433d-438e-b5c3-ce13cfb19cde |
| < | NULL            | 876f9ee5-8adb-4c4a-bd13-3c0decc0448b |
| > | AB10324         | 876f9ee5-8adb-4c4a-bd13-3c0decc0448b |
| < | NULL            | 87c5ac09-719c-4a39-9d4b-5745ac14f7db |
| > | AB11094         | 87c5ac09-719c-4a39-9d4b-5745ac14f7db |
| < | NULL            | 87c8e639-07e5-4a32-807d-fad84f088cf5 |
| > | AB00094WEA      | 87c8e639-07e5-4a32-807d-fad84f088cf5 |
| < | NULL            | 894481d7-bf22-4795-bf00-1d5ed4f5e6be |
| > | ABU0137ALL      | 894481d7-bf22-4795-bf00-1d5ed4f5e6be |
| < | NULL            | 8969cbea-a040-437e-9c3b-ba8c90844ccd |
| > | BH05071         | 8969cbea-a040-437e-9c3b-ba8c90844ccd |
| < | NULL            | 8a9dd8fc-0b57-48cf-89fd-036ccdcc7664 |
| > | BH02022         | 8a9dd8fc-0b57-48cf-89fd-036ccdcc7664 |
| < | NULL            | 8acf8c01-d7a7-4b83-8e5c-40603a08603e |
| > | AB11094         | 8acf8c01-d7a7-4b83-8e5c-40603a08603e |
| < | NULL            | 8c75415f-7312-4cb1-adea-2894fa938b62 |
| > | ABU0030SHE      | 8c75415f-7312-4cb1-adea-2894fa938b62 |
| < | NULL            | 8c7a0b68-4eb6-4b89-89e9-a90035ab6b9a |
| > | AB10769         | 8c7a0b68-4eb6-4b89-89e9-a90035ab6b9a |
| < | NULL            | 8cd96dde-d567-4419-a06d-e971e08a4097 |
| > | BH05543         | 8cd96dde-d567-4419-a06d-e971e08a4097 |
| < | NULL            | 8d221400-3fd5-44fc-9b02-53d1a64a65e7 |
| > | AB11094         | 8d221400-3fd5-44fc-9b02-53d1a64a65e7 |
| < | NULL            | 8d5cd8ff-0fc6-4ced-a4c4-2cd4db410abe |
| > | TMP00052        | 8d5cd8ff-0fc6-4ced-a4c4-2cd4db410abe |
| < | BH09085         | 8f34bc8e-8681-4f67-9907-3f10d97953de |
| > |                 | 8f34bc8e-8681-4f67-9907-3f10d97953de |
| < | BH08855         | 8f747beb-3856-4e0c-908b-857e594a5a4b |
| > |                 | 8f747beb-3856-4e0c-908b-857e594a5a4b |
| < | NULL            | 8feeb262-08ae-4d72-8981-b2ac15c6204e |
| > | BH08013         | 8feeb262-08ae-4d72-8981-b2ac15c6204e |
| < | NULL            | 914d847c-415a-4aad-9777-b39ec00d140e |
| > | BH08855         | 914d847c-415a-4aad-9777-b39ec00d140e |
| < | NULL            | 91eea353-c13b-41eb-b338-0be7e53f316b |
| > | BH09872         | 91eea353-c13b-41eb-b338-0be7e53f316b |
| < | NULL            | 925ff600-e6c2-4498-bfa3-77ca75f2d84a |
| > | AB02342AWA      | 925ff600-e6c2-4498-bfa3-77ca75f2d84a |
| < | NULL            | 93481848-884a-4ec2-88a1-f880359cac16 |
| > | BH01888         | 93481848-884a-4ec2-88a1-f880359cac16 |
| < | NULL            | 93ac9473-98ac-43c8-9f51-9eeae0dd59b5 |
| > | BH00554         | 93ac9473-98ac-43c8-9f51-9eeae0dd59b5 |
| < | NULL            | 942c68d5-4c95-4ed5-976b-ab3e0de7edc8 |
| > | BH08846         | 942c68d5-4c95-4ed5-976b-ab3e0de7edc8 |
| < | NULL            | 9454a536-a5ea-4ecb-a21f-0261c97b31d5 |
| > | BH05768         | 9454a536-a5ea-4ecb-a21f-0261c97b31d5 |
| < | AB00128FEE      | 94ce7e69-1b29-4aef-bc44-1069733f817a |
| > |                 | 94ce7e69-1b29-4aef-bc44-1069733f817a |
| < | BH04990         | 9512d63c-499d-4224-a3f8-794754af9cc3 |
| > |                 | 9512d63c-499d-4224-a3f8-794754af9cc3 |
| < | NULL            | 958ba342-3b45-4853-921f-4368ee6f5373 |
| > | BH10505         | 958ba342-3b45-4853-921f-4368ee6f5373 |
| < | NULL            | 959f1ce6-da78-4be5-a89d-48f35214087d |
| > | BH08600TES      | 959f1ce6-da78-4be5-a89d-48f35214087d |
| < | NULL            | 96d05d88-97ab-4f94-83cd-66896780eff1 |
| > | TMP00052        | 96d05d88-97ab-4f94-83cd-66896780eff1 |
| < | BH05768         | 96d8d9dc-112a-4835-8329-68167d121838 |
| > |                 | 96d8d9dc-112a-4835-8329-68167d121838 |
| < | NULL            | 97d127d5-628d-45b2-b3df-211a487053c9 |
| > | BH08855         | 97d127d5-628d-45b2-b3df-211a487053c9 |
| < | NULL            | 98f2db87-de84-4d53-b9bb-2ff7c07826db |
| > | BH01313NAM      | 98f2db87-de84-4d53-b9bb-2ff7c07826db |
| < | NULL            | 99160823-3d71-41a1-b436-6a7434d4ee57 |
| > | BH00868WIT      | 99160823-3d71-41a1-b436-6a7434d4ee57 |
| < | NULL            | 99462ac6-d3a6-4736-ade5-a01c4b80836b |
| > | AB03082         | 99462ac6-d3a6-4736-ade5-a01c4b80836b |
| < | AB10714         | 9946bf00-bba6-464f-b694-ef40e83e0286 |
| > |                 | 9946bf00-bba6-464f-b694-ef40e83e0286 |
| < | NULL            | 99701d3e-2303-488f-9733-aa793bc9c10a |
| > | BH02524         | 99701d3e-2303-488f-9733-aa793bc9c10a |
| < | ABU0003DIS      | 999baf40-007c-424b-8e85-7fb9faa7a554 |
| > |                 | 999baf40-007c-424b-8e85-7fb9faa7a554 |
| < | NULL            | 99cabb97-faf0-42ae-8ed4-8fdd93106864 |
| > | BH00009HOW      | 99cabb97-faf0-42ae-8ed4-8fdd93106864 |
| < | NULL            | 9af24db1-7a75-4a20-b74a-a4da4ee2bc18 |
| > | AB07709CON      | 9af24db1-7a75-4a20-b74a-a4da4ee2bc18 |
| < | NULL            | 9b2e8770-12dd-4687-9cfe-8e89e26738d3 |
| > | BB00018ADJ      | 9b2e8770-12dd-4687-9cfe-8e89e26738d3 |
| < | NULL            | 9ba05c87-e952-4c6a-8050-9b4b58d8568a |
| > | BH00438         | 9ba05c87-e952-4c6a-8050-9b4b58d8568a |
| < | NULL            | 9c171699-eccf-43f3-b8b7-0e44e43cab9f |
| > | NEW_001         | 9c171699-eccf-43f3-b8b7-0e44e43cab9f |
| < | NULL            | 9d3e9cc6-80aa-44da-aa58-35f3f7b113d4 |
| > | BH04990         | 9d3e9cc6-80aa-44da-aa58-35f3f7b113d4 |
| < | NULL            | 9dad69c0-22f4-48ce-b517-e55d87ca0dc4 |
| > | AB07158         | 9dad69c0-22f4-48ce-b517-e55d87ca0dc4 |
| < | BH09498         | 9dd977a0-3032-4480-a4dc-d8ac6481208d |
| > |                 | 9dd977a0-3032-4480-a4dc-d8ac6481208d |
| < | BH09508         | 9f066caa-7dbc-48a3-89d8-0597197af243 |
| > |                 | 9f066caa-7dbc-48a3-89d8-0597197af243 |
| < | NULL            | 9f3be7e1-90b2-484e-bb3c-5f27b42dc2c3 |
| > | AB03082         | 9f3be7e1-90b2-484e-bb3c-5f27b42dc2c3 |
| < | NULL            | 9f900e22-852a-407d-807a-e414fb185246 |
| > | BH02898MAG      | 9f900e22-852a-407d-807a-e414fb185246 |
| < | NULL            | a046bb69-3caa-4dff-8374-2b864ce16c06 |
| > | NEW_TRANSLATION | a046bb69-3caa-4dff-8374-2b864ce16c06 |
| < | NULL            | a12244cb-21bf-4f6d-8cea-57d4c12f6a45 |
| > | TMP00003        | a12244cb-21bf-4f6d-8cea-57d4c12f6a45 |
| < | NULL            | a1f200e6-a6ff-4f2e-bb47-3c861f71ad56 |
| > | AB09139         | a1f200e6-a6ff-4f2e-bb47-3c861f71ad56 |
| < | NULL            | a236b259-3f34-4f1a-83b6-84d8173dc897 |
| > | BH05771         | a236b259-3f34-4f1a-83b6-84d8173dc897 |
| < | NULL            | a24f1698-5e15-4871-ac37-85b64c53c201 |
| > | BH09024         | a24f1698-5e15-4871-ac37-85b64c53c201 |
| < | AB00218SOU      | a25746c3-6976-4b88-b4df-3c45d53cdd99 |
| > |                 | a25746c3-6976-4b88-b4df-3c45d53cdd99 |
| < | BH08594         | a2ce0bbc-2e8d-48e6-a22b-b7a3a3eff2d7 |
| > |                 | a2ce0bbc-2e8d-48e6-a22b-b7a3a3eff2d7 |
| < | NULL            | a2d4f0c0-7358-4c9c-9b16-adedbb6f46b6 |
| > | BH07106         | a2d4f0c0-7358-4c9c-9b16-adedbb6f46b6 |
| < | NULL            | a3d39ffc-d418-470e-943d-dc3924d5f2a2 |
| > | AB02304TST      | a3d39ffc-d418-470e-943d-dc3924d5f2a2 |
| < | NULL            | a4b0b81c-43cc-4cb6-9cc1-2aed914442de |
| > | AB05652WIS      | a4b0b81c-43cc-4cb6-9cc1-2aed914442de |
| < | BB00623         | a5fd90f2-5593-4595-959a-1349827d7085 |
| > |                 | a5fd90f2-5593-4595-959a-1349827d7085 |
| < | NULL            | a6220364-6072-4f7a-a81b-5e17a8c16045 |
| > |                 | a6220364-6072-4f7a-a81b-5e17a8c16045 |
| < | NULL            | a6822259-b5a7-4c9c-adc6-9b51f0cf4299 |
| > | BH10505         | a6822259-b5a7-4c9c-adc6-9b51f0cf4299 |
